shipment_date,planning_day,is_planning_window,corridor_id,item_id,item_name,unique_item_id,dispatch_location
2026-02-01,History,0,C1_I95_NJ_BOS,10060,Morphine Sulfate,MOR-2026-00001,Boston-MGH
2026-02-01,History,0,C1_I95_NJ_BOS,10050,Heparin Na,,Boston-MGH
2026-02-01,History,0,C2_NJ_PHL,10022,Insulin Lispro,INS-2026-10003,Philadelphia-Jefferson
2026-02-02,History,0,C1_I95_NJ_BOS,10060,Morphine Sulphate,MOR-2026-00004,Boston-MGH
2026-02-02,History,0,C1_I95_NJ_BOS,10023,Insulin Aspart,INS-2026-00005,Boston-BWH
2026-02-02,History,0,C1_I95_NJ_BOS,10023,Insulin Aspart,INS-2026-00006,Boston-MGH
2026-02-02,History,0,C1_I95_NJ_BOS,10040,Epinephrine Auto-Injector,EPI-2026-00007,Boston-Children
2026-02-02,History,0,C1_I95_NJ_BOS,99999,Experimental Oncology Drug,EXP-2026-00008,Boston-DanaFarber
2026-02-02,History,0,C1_I95_NJ_BOS,10035,Pembrolizumab,PBR-2026-00009,Boston-DanaFarber
2026-02-02,History,0,C2_NJ_PHL,10071,Levalbuterol Inhaler,LEV-2026-10010,Philadelphia-CHOP
2026-02-02,History,0,C2_NJ_PHL,10022,Insulin Lispro,INS-2026-10011,Philadelphia-Jefferson
2026-02-02,History,0,C2_NJ_PHL,10035,Pembrolizumab (Keytruda),PBR-2026-10012,Philadelphia-UPenn
2026-02-02,History,0,C2_NJ_PHL,10022,Insulin Lispro,INS-2026-10013,Philadelphia-Jefferson
2026-02-03,History,0,C1_I95_NJ_BOS,10050,Heparin Na,HEP-2026-00014,Boston-BWH
2026-02-03,History,0,C1_I95_NJ_BOS,99999,Experimental Oncology Drug,EXP-2026-00015,Boston-BWH
2026-02-03,History,0,C1_I95_NJ_BOS,10040,Epinephrine Auto-Injector,EPI-2026-00016,Boston-Children
2026-02-03,History,0,C1_I95_NJ_BOS,10071,Levalbuterol Inhaler,LEV-2026-00017,Boston-BWH
2026-02-03,History,0,C1_I95_NJ_BOS,10060,Morphine Sulphate,MOR-2026-00018,Boston-Children
2026-02-03,History,0,C1_I95_NJ_BOS,10021,Remdesivir 100mg,RMD-2026-00019,Boston-BWH
2026-02-03,History,0,C2_NJ_PHL,10060,Morphine Sulfate,MOR-2026-10020,Philadelphia-UPenn
2026-02-03,History,0,C2_NJ_PHL,10071,Levalbuterol Inhaler,LEV-2026-10021,Philadelphia-Jefferson
2026-02-03,History,0,C2_NJ_PHL,10021,Remdesivir 200mg,RMD-2026-10022,Philadelphia-UPenn
2026-02-03,History,0,C2_NJ_PHL,10023,Insulin Aspart,INS-2026-10023,Philadelphia-CHOP
2026-02-04,History,0,C1_I95_NJ_BOS,10040,Epinephrine Auto-Injector,EPI-2026-00024,Boston-MGH
2026-02-04,History,0,C1_I95_NJ_BOS,10040,Epinephrine Auto-Injector,EPI-2026-00025,Boston-MGH
2026-02-04,History,0,C1_I95_NJ_BOS,10021,Remdesivir 200mg,PBR-2026-10065,Boston-BWH
2026-02-04,History,0,C1_I95_NJ_BOS,10021,Remdesivir 100 mg,RMD-2026-00027,Boston-MGH
2026-02-04,History,0,C2_NJ_PHL,10022,Insulin Lispro,INS-2026-10028,Philadelphia-Jefferson
2026-02-04,History,0,C2_NJ_PHL,10023,Insulin Aspart,INS-2026-10029,Philadelphia-Jefferson
2026-02-04,History,0,C2_NJ_PHL,10035,Pembrolizumab,PBR-2026-10030,Philadelphia-UPenn
2026-02-04,History,0,C2_NJ_PHL,10023,Insulin Aspart,INS-2026-10031,Philadelphia-Jefferson
2026-02-05,History,0,C1_I95_NJ_BOS,10070,Albuterol Inhaler,ALB-2026-00032,Boston-Children
2026-02-05,History,0,C1_I95_NJ_BOS,10022,Insulin Lispro,,Boston-MGH
2026-02-05,History,0,C1_I95_NJ_BOS,10022,Insulin Lispro,INS-2026-00034,Boston-BWH
2026-02-05,History,0,C1_I95_NJ_BOS,10023,Insulin Aspart,INS-2026-00035,Boston-BWH
2026-02-05,History,0,C1_I95_NJ_BOS,10071,Levalbuterol Inhaler,LEV-2026-00036,Boston-Children
2026-02-05,History,0,C2_NJ_PHL,10040,EpiPen Auto Injector,EPI-2026-10037,Philadelphia-CHOP
2026-02-05,History,0,C2_NJ_PHL,10021,Remdesivir 100mg,RMD-2026-10038,Philadelphia-UPenn
2026-02-05,History,0,C2_NJ_PHL,10022,Insulin Lispro,INS-2026-10039,Philadelphia-CHOP
2026-02-05,History,0,C2_NJ_PHL,10060,Morphine Sulfate,MOR-2026-10040,Philadelphia-Jefferson
2026-02-06,History,0,C1_I95_NJ_BOS,10022,Insulin Lispro,INS-2026-00041,Boston-MGH
