shipment_date,planning_day,is_planning_window,corridor_id,item_id,item_name,unique_item_id,dispatch_location
2026-02-01,History,0,C1_I95_NJ_BOS,99999,Experimental Oncology Drug,EXP-2026-00001,Boston-DanaFarber
2026-02-01,History,0,C1_I95_NJ_BOS,88888,Remdesivir 100mg,RMD-2026-00002,Boston-BWH
2026-02-01,History,0,C1_I95_NJ_BOS,10035,Pembrolizumab,PBR-2026-00003,Boston-DanaFarber
2026-02-01,History,0,C1_I95_NJ_BOS,10023,Insulin Aspart,INS-2026-00004,Boston-BWH
2026-02-01,History,0,C2_NJ_PHL,10040,EpiPen Auto Injector,EPI-2026-10005,Philadelphia-CHOP
2026-02-01,History,0,C2_NJ_PHL,10023,Insulin Aspart,INS-2026-10006,Philadelphia-Jefferson
2026-02-01,History,0,C2_NJ_PHL,10060,Morphine Sulphate,MOR-2026-10007,Philadelphia-Jefferson
2026-02-02,History,0,C1_I95_NJ_BOS,99999,Experimental Oncology Drug,EXP-2026-00008,Boston-DanaFarber
2026-02-02,History,0,C1_I95_NJ_BOS,10040,Epinephrine Auto-Injector,EPI-2026-00009,Boston-Children
2026-02-02,History,0,C1_I95_NJ_BOS,10035,Pembrolizumab (Keytruda),PBR-2026-00010,Boston-DanaFarber
2026-02-02,History,0,C1_I95_NJ_BOS,99999,Experimental Oncology Drug,EXP-2026-00011,Boston-Children
2026-02-02,History,0,C1_I95_NJ_BOS,20021,Heparin Sodium,HEP-2026-00012,Boston-BWH
2026-02-02,History,0,C2_NJ_PHL,10060,Morphine Sulfate,MOR-2026-10013,Philadelphia-Jefferson
2026-02-02,History,0,C2_NJ_PHL,10040,Epinephrine Auto-Injector,EPI-2026-10014,Philadelphia-Jefferson
2026-02-02,History,0,C2_NJ_PHL,10050,Heparin Sodium,HEP-2026-10015,Philadelphia-Jefferson
2026-02-03,History,0,C1_I95_NJ_BOS,10035,Pembrolizumab,PBR-2026-00016,Boston-DanaFarber
2026-02-03,History,0,C1_I95_NJ_BOS,10021,Remdesivir 200mg,RMD-2026-00017,Boston-BWH
2026-02-03,History,0,C1_I95_NJ_BOS,10023,Insulin Aspart,INS-2026-00018,Boston-MGH
2026-02-03,History,0,C1_I95_NJ_BOS,10071,Levalbuterol Inhaler,LEV-2026-00019,Boston-BWH
2026-02-03,History,0,C1_I95_NJ_BOS,10022,Insulin Lispro,INS-2026-00020,Boston-BWH
2026-02-03,History,0,C2_NJ_PHL,10021,Remdesivir 100 mg,RMD-2026-10021,Philadelphia-UPenn
2026-02-03,History,0,C2_NJ_PHL,99999,Experimental Oncology Drug,INS-2026-00149,Philadelphia-CHOP
2026-02-03,History,0,C2_NJ_PHL,10060,Morphine Sulfate,MOR-2026-10023,Philadelphia-Jefferson
2026-02-03,History,0,C2_NJ_PHL,10023,Insulin Aspart,INS-2026-10024,Philadelphia-UPenn
2026-02-03,History,0,C2_NJ_PHL,10023,Insulin Aspart,INS-2026-10025,Philadelphia-CHOP
2026-02-04,History,0,C1_I95_NJ_BOS,10022,Insulin Lispro,INS-2026-00026,Boston-Children
2026-02-04,History,0,C1_I95_NJ_BOS,10050,Heparin Na,HEP-2026-00027,Boston-BWH
2026-02-04,History,0,C1_I95_NJ_BOS,10035,Pembrolizumab (Keytruda),PBR-2026-00028,Boston-DanaFarber
2026-02-04,History,0,C1_I95_NJ_BOS,10060,Morphine Sulphate,MOR-2026-00029,Boston-MGH
