shipment_date,planning_day,is_planning_window,corridor_id,item_id,item_name,unique_item_id,dispatch_location
2026-01-01,History,0,C1_I95_NJ_BOS,99999,Experimental Oncology Drug,EXP-2026-00001,Boston-MGH
2026-01-01,History,0,C1_I95_NJ_BOS,10022,Insulin Lispro,INS-2026-00002,Boston-Children
2026-01-01,History,0,C1_I95_NJ_BOS,10021,Remdesivir 200mg,RMD-2026-00003,Boston-MGH
2026-01-01,History,0,C1_I95_NJ_BOS,10035,Pembrolizumab (Keytruda),PBR-2026-00004,Boston-DanaFarber
2026-01-01,History,0,C1_I95_NJ_BOS,10021,Remdesivir 100 mg,RMD-2026-00005,Boston-MGH
2026-01-01,History,0,C2_NJ_PHL,10060,Morphine Sulphate,MOR-2026-10006,Philadelphia-Jefferson
2026-01-01,History,0,C2_NJ_PHL,10021,Remdesivir 100mg,RMD-2026-10007,Philadelphia-UPenn
2026-01-01,History,0,C2_NJ_PHL,10060,Morphine Sulphate,MOR-2026-10008,Philadelphia-Jefferson
2026-01-01,History,0,C2_NJ_PHL,99999,Experimental Oncology Drug,EXP-2026-10009,Philadelphia-CHOP
2026-01-01,History,0,C2_NJ_PHL,10021,Remdesivir 200mg,RMD-2026-10010,Philadelphia-UPenn
2026-01-02,History,0,C1_I95_NJ_BOS,10022,Insulin Lispro,INS-2026-00011,Boston-Children
2026-01-02,History,0,C1_I95_NJ_BOS,99999,Experimental Oncology Drug,EXP-2026-00012,Boston-DanaFarber
2026-01-02,History,0,C1_I95_NJ_BOS,1070,Levalbuterol Inhaler,LEV-2026-00013,Boston-Children
2026-01-02,History,0,C1_I95_NJ_BOS,10071,Levalbuterol Inhaler,LEV-2026-00014,Boston-Children
2026-01-02,History,0,C1_I95_NJ_BOS,10022,Insulin Lispro,INS-2026-00015,Boston-Children
2026-01-02,History,0,C1_I95_NJ_BOS,10060,Morphine Sulphate,MOR-2026-00016,Boston-MGH
2026-01-02,History,0,C2_NJ_PHL,10040,EpiPen Auto Injector,EPI-2026-10017,Philadelphia-CHOP
2026-01-02,History,0,C2_NJ_PHL,10023,Insulin Aspart,INS-2026-10018,Philadelphia-CHOP
2026-01-02,History,0,C2_NJ_PHL,10022,Insulin Lispro,INS-2026-10019,Philadelphia-UPenn
2026-01-02,History,0,C2_NJ_PHL,10021,Remdesivir 200mg,RMD-2026-10020,Philadelphia-Jefferson
2026-01-03,History,0,C1_I95_NJ_BOS,10050,Heparin Sodium,HEP-2026-00021,Boston-MGH
2026-01-03,History,0,C1_I95_NJ_BOS,10071,Levalbuterol Inhaler,LEV-2026-00022,Boston-Children
2026-01-03,History,0,C2_NJ_PHL,10040,EpiPen Auto Injector,EPI-2026-10023,Philadelphia-UPenn
2026-01-03,History,0,C2_NJ_PHL,10035,Pembrolizumab,PBR-2026-10024,Philadelphia-UPenn
2026-01-04,History,0,C1_I95_NJ_BOS,10021,Remdesivir 100mg,RMD-2026-00025,Boston-DanaFarber
2026-01-04,History,0,C2_NJ_PHL,10070,Albuterol Inhaler 90mcg,ALB-2026-10026,Philadelphia-CHOP
2026-01-05,History,0,C1_I95_NJ_BOS,10023,Insulin Aspart,INS-2026-00027,Boston-BWH
2026-01-05,History,0,C1_I95_NJ_BOS,10021,Remdesivir 100mg,RMD-2026-00028,Boston-MGH
2026-01-05,History,0,C1_I95_NJ_BOS,10060,Morphine Sulphate,MOR-2026-00029,Boston-MGH
2026-01-05,History,0,C1_I95_NJ_BOS,10050,Heparin Sodium,HEP-2026-00030,Boston-MGH
2026-01-05,History,0,C1_I95_NJ_BOS,10050,Heparin Sodium,HEP-2026-00031,Boston-BWH
2026-01-05,History,0,C1_I95_NJ_BOS,10023,Insulin Aspart,INS-2026-00032,Boston-BWH
2026-01-05,History,0,C2_NJ_PHL,10050,Heparin Sodium,HEP-2026-10033,Philadelphia-Jefferson
2026-01-05,History,0,C2_NJ_PHL,10021,Remdesivir 100 mg,RMD-2026-10034,Philadelphia-UPenn
2026-01-05,History,0,C2_NJ_PHL,10023,Insulin Aspart,INS-2026-10035,Philadelphia-CHOP
2026-01-05,History,0,C2_NJ_PHL,10021,Remdesivir 100mg,RMD-2026-10036,Philadelphia-UPenn
2026-01-06,History,0,C1_I95_NJ_BOS,10021,Remdesivir 100mg,RMD-2026-00037,Boston-BWH
2026-01-06,History,0,C1_I95_NJ_BOS,10021,Remdesivir 100 mg,RMD-2026-00038,Boston-MGH
2026-01-06,History,0,C1_I95_NJ_BOS,10023,Insulin Aspart,INS-2026-00039,Boston-BWH
2026-01-06,History,0,C1_I95_NJ_BOS,10023,Insulin Aspart,INS-2026-00040,Boston-MGH
2026-01-06,History,0,C1_I95_NJ_BOS,10040,EpiPen Auto Injector,EPI-2026-00041,Boston-Children
2026-01-06,History,0,C2_NJ_PHL,10021,Remdesivir 100mg,RMD-2026-10042,Philadelphia-UPenn
2026-01-06,History,0,C2_NJ_PHL,10050,Heparin Na,HEP-2026-10043,Philadelphia-Jefferson
2026-01-06,History,0,C2_NJ_PHL,10050,Heparin Na,HEP-2026-10044,Philadelphia-Jefferson
2026-01-06,History,0,C2_NJ_PHL,10022,Insulin Lispro,INS-2026-10045,Philadelphia-Jefferson
2026-01-07,History,0,C1_I95_NJ_BOS,10050,Heparin Sodium,HEP-2026-00046,Boston-DanaFarber
2026-01-07,History,0,C1_I95_NJ_BOS,10071,Levalbuterol Inhaler,LEV-2026-00047,Boston-Children
2026-01-07,History,0,C1_I95_NJ_BOS,10022,Insulin Lispro,INS-2026-00048,Boston-MGH
2026-01-07,History,0,C1_I95_NJ_BOS,10021,Generic Remdesivir 100mg,RMD-2026-00049,Boston-MGH
2026-01-07,History,0,C1_I95_NJ_BOS,10021,Remdesivir 100 mg,RMD-2026-00050,Boston-DanaFarber
2026-01-07,History,0,C2_NJ_PHL,10022,Insulin Lispro,INS-2026-10051,Philadelphia-CHOP
2026-01-07,History,0,C2_NJ_PHL,10060,Morphine Sulfate,MOR-2026-10052,Philadelphia-Jefferson
2026-01-07,History,0,C2_NJ_PHL,10023,Insulin Aspart,INS-2026-10053,Philadelphia-UPenn
2026-01-07,History,0,C2_NJ_PHL,10071,Levalbuterol Inhaler,LEV-2026-10054,Philadelphia-Jefferson
2026-01-08,History,0,C1_I95_NJ_BOS,10035,Pembrolizumab,PBR-2026-00055,Boston-DanaFarber
2026-01-08,History,0,C1_I95_NJ_BOS,10021,Remdesivir 100mg,RMD-2026-00056,Boston-MGH
2026-01-08,History,0,C1_I95_NJ_BOS,10060,Morphine Sulphate,MOR-2026-00057,Boston-BWH
2026-01-08,History,0,C1_I95_NJ_BOS,10022,Insulin Lispro,INS-2026-00058,Boston-BWH
2026-01-08,History,0,C1_I95_NJ_BOS,10040,Epinephrine Auto-Injector,EPI-2026-00059,Boston-Children
2026-01-08,History,0,C1_I95_NJ_BOS,10050,Heparin Na,HEP-2026-00060,Boston-Children
2026-01-08,History,0,C2_NJ_PHL,10021,Remdesivir 100mg,RMD-2026-10061,Philadelphia-UPenn
2026-01-08,History,0,C2_NJ_PHL,10035,Pembrolizumab (Keytruda),PBR-2026-10062,Philadelphia-UPenn
2026-01-08,History,0,C2_NJ_PHL,10071,Levalbuterol Inhaler,LEV-2026-10063,Philadelphia-CHOP
2026-01-08,History,0,C2_NJ_PHL,10021,Remdesivir 100 mg,RMD-2026-10064,Philadelphia-UPenn
2026-01-08,History,0,C2_NJ_PHL,10021,Remdesivir 100mg,RMD-2026-10065,Philadelphia-CHOP
2026-01-09,History,0,C1_I95_NJ_BOS,10035,Pembrolizumab,PBR-2026-00066,Boston-DanaFarber
2026-01-09,History,0,C1_I95_NJ_BOS,10040,Epinephrine Auto-Injector,EPI-2026-00067,Boston-Children
2026-01-09,History,0,C1_I95_NJ_BOS,10071,Levalbuterol Inhaler,LEV-2026-00068,Boston-BWH
2026-01-09,History,0,C1_I95_NJ_BOS,10021,Remdesivir 200mg,RMD-2026-00069,Boston-MGH
2026-01-09,History,0,C1_I95_NJ_BOS,10021,Remdesivir 100 mg,RMD-2026-00070,Boston-BWH
2026-01-09,History,0,C1_I95_NJ_BOS,10050,Heparin Na,HEP-2026-00071,Boston-MGH
2026-01-09,History,0,C2_NJ_PHL,10070,Albuterol Inhaler 90mcg,ALB-2026-10072,Philadelphia-Jefferson
2026-01-09,History,0,C2_NJ_PHL,10040,Epinephrine Auto-Injector,EPI-2026-10073,Philadelphia-UPenn
2026-01-09,History,0,C2_NJ_PHL,10040,EpiPen Auto Injector,EPI-2026-10074,Philadelphia-CHOP
2026-01-09,History,0,C2_NJ_PHL,10035,Pembrolizumab (Keytruda),PBR-2026-10075,Philadelphia-UPenn
2026-01-09,History,0,C2_NJ_PHL,10050,Heparin Na,HEP-2026-10076,Philadelphia-Jefferson
2026-01-10,History,0,C1_I95_NJ_BOS,10040,Epinephrine Auto-Injector,EPI-2026-00077,Boston-DanaFarber
2026-01-10,History,0,C1_I95_NJ_BOS,10071,Levalbuterol Inhaler,LEV-2026-00078,Boston-DanaFarber
2026-01-10,History,0,C1_I95_NJ_BOS,10040,EpiPen Auto Injector,EPI-2026-00079,Boston-Children
2026-01-10,History,0,C2_NJ_PHL,10071,Levalbuterol Inhaler,LEV-2026-10080,Philadelphia-CHOP
2026-01-10,History,0,C2_NJ_PHL,10023,Insulin Aspart,INS-2026-10081,Philadelphia-Jefferson
2026-01-11,History,0,C1_I95_NJ_BOS,10021,Remdesivir 100 mg,RMD-2026-00082,Boston-BWH
2026-01-11,History,0,C1_I95_NJ_BOS,10070,Albuterol Inhaler,ALB-2026-00083,Boston-Children
2026-01-11,History,0,C2_NJ_PHL,10021,Remdesivir 100 mg,RMD-2026-10084,Philadelphia-CHOP
2026-01-12,History,0,C1_I95_NJ_BOS,10021,Remdesivir 200mg,RMD-2026-00085,Boston-DanaFarber
2026-01-12,History,0,C1_I95_NJ_BOS,10070,Albuterol Inhaler,ALB-2026-00086,Boston-MGH
2026-01-12,History,0,C1_I95_NJ_BOS,10023,Insulin Aspart,INS-2026-00087,Boston-BWH
2026-01-12,History,0,C1_I95_NJ_BOS,10035,Pembrolizumab (Keytruda),PBR-2026-00088,Boston-DanaFarber
2026-01-12,History,0,C1_I95_NJ_BOS,10035,Pembrolizumab (Keytruda),PBR-2026-00089,Boston-DanaFarber
2026-01-12,History,0,C1_I95_NJ_BOS,10035,Generic Pembrolizumab,PBR-2026-00090,Boston-DanaFarber
2026-01-12,History,0,C2_NJ_PHL,10071,Levalbuterol Inhaler,LEV-2026-10091,Philadelphia-CHOP
2026-01-12,History,0,C2_NJ_PHL,10071,Levalbuterol Inhaler,LEV-2026-10092,Philadelphia-UPenn
2026-01-12,History,0,C2_NJ_PHL,10021,Remdesivir 100 mg,RMD-2026-10093,Philadelphia-Jefferson
2026-01-12,History,0,C2_NJ_PHL,10070,Albuterol Inhaler 90mcg,ALB-2026-10094,Philadelphia-CHOP
2026-01-13,History,0,C1_I95_NJ_BOS,10035,Pembrolizumab,PBR-2026-00095,Boston-Children
2026-01-13,History,0,C1_I95_NJ_BOS,10023,Insulin Aspart,INS-2026-00096,Boston-BWH
2026-01-13,History,0,C1_I95_NJ_BOS,99999,Experimental Oncology Drug,EXP-2026-00097,Boston-DanaFarber
