shipment_date,planning_day,is_planning_window,corridor_id,item_id,item_name,unique_item_id,dispatch_location
2026-02-01,History,0,C1_I95_NJ_BOS,10023,Insulin Aspart,INS-2026-00001,Boston-Children
2026-02-01,History,0,C1_I95_NJ_BOS,10070,Albuterol Inhaler,ALB-2026-00002,Boston-BWH
2026-02-01,History,0,C1_I95_NJ_BOS,10021,Remdesivir 100 mg,RMD-2026-00003,Boston-BWH
2026-02-01,History,0,C2_NJ_PHL,10070,Albuterol Inhaler,ALB-2026-10004,Philadelphia-CHOP
2026-02-01,History,0,C2_NJ_PHL,10050,Heparin Na,HEP-2026-10005,Philadelphia-Jefferson
2026-02-01,History,0,C2_NJ_PHL,10071,Levalbuterol Inhaler,LEV-2026-10006,Philadelphia-UPenn
2026-02-01,History,0,C2_NJ_PHL,10050,Heparin Sodium,HEP-2026-10007,Philadelphia-Jefferson
2026-02-01,History,0,C2_NJ_PHL,10022,Insulin Lispro,INS-2026-10008,Philadelphia-UPenn
2026-02-02,History,0,C1_I95_NJ_BOS,10071,Levalbuterol Inhaler,LEV-2026-00009,Boston-Children
2026-02-02,History,0,C1_I95_NJ_BOS,10070,Albuterol Inhaler 90mcg,ALB-2026-00010,Boston-Children
2026-02-02,History,0,C1_I95_NJ_BOS,10022,Insulin Lispro,INS-2026-00011,Boston-BWH
2026-02-02,History,0,C2_NJ_PHL,99999,Experimental Oncology Drug,EXP-2026-10012,Philadelphia-Jefferson
2026-02-02,History,0,C2_NJ_PHL,10021,Remdesivir 100mg,RMD-2026-10013,Philadelphia-UPenn
2026-02-02,History,0,C2_NJ_PHL,10071,Levalbuterol Inhaler,LEV-2026-10014,Philadelphia-CHOP
2026-02-02,History,0,C2_NJ_PHL,10040,EpiPen Auto Injector,EPI-2026-10015,Philadelphia-CHOP
2026-02-02,History,0,C2_NJ_PHL,10060,Morphine Sulphate,MOR-2026-10016,Philadelphia-CHOP
2026-02-03,History,0,C1_I95_NJ_BOS,10021,Remdesivir 100mg,RMD-2026-00017,Boston-MGH
2026-02-03,History,0,C1_I95_NJ_BOS,10070,Albuterol Inhaler 90mcg,ALB-2026-00018,Boston-Children
2026-02-03,History,0,C1_I95_NJ_BOS,10021,Remdesivir 200mg,RMD-2026-00019,Boston-MGH
2026-02-03,History,0,C2_NJ_PHL,10040,Epinephrine Auto-Injector,EPI-2026-10020,Philadelphia-CHOP
2026-02-03,History,0,C2_NJ_PHL,10035,Pembrolizumab (Keytruda),PBR-2026-10021,Philadelphia-UPenn
2026-02-03,History,0,C2_NJ_PHL,10070,Albuterol Inhaler,ALB-2026-10022,Philadelphia-CHOP
2026-02-03,History,0,C2_NJ_PHL,10023,Insulin Aspart,INS-2026-10023,Philadelphia-CHOP
2026-02-04,History,0,C1_I95_NJ_BOS,10040,Epinephrine Auto-Injector,EPI-2026-00024,Boston-Children
2026-02-04,History,0,C1_I95_NJ_BOS,10021,Remdesivir 100 mg,RMD-2026-00025,Boston-BWH
2026-02-04,History,0,C1_I95_NJ_BOS,10071,Levalbuterol Inhaler,LEV-2026-00026,Boston-Children
2026-02-04,History,0,C1_I95_NJ_BOS,99999,Experimental Oncology Drug,EXP-2026-00027,Boston-DanaFarber
2026-02-04,History,0,C2_NJ_PHL,10023,Insulin Aspart,INS-2026-10028,Philadelphia-UPenn
2026-02-04,History,0,C2_NJ_PHL,10070,Albuterol Inhaler,ALB-2026-10029,Philadelphia-UPenn
2026-02-04,History,0,C2_NJ_PHL,10071,Levalbuterol Inhaler,LEV-2026-10030,Philadelphia-CHOP
2026-02-05,History,0,C1_I95_NJ_BOS,10021,Remdesivir 200mg,RMD-2026-00031,Boston-DanaFarber
2026-02-05,History,0,C1_I95_NJ_BOS,10040,EpiPen Auto Injector,EPI-2026-00032,Boston-Children
2026-02-05,History,0,C1_I95_NJ_BOS,10021,Remdesivir 100mg,RMD-2026-00033,Boston-BWH
2026-02-05,History,0,C2_NJ_PHL,10022,Insulin Lispro,INS-2026-10034,Philadelphia-UPenn
2026-02-05,History,0,C2_NJ_PHL,10022,Insulin Lispro,INS-2026-10035,Philadelphia-CHOP
2026-02-05,History,0,C2_NJ_PHL,10022,Insulin Lispro,INS-2026-10036,Philadelphia-CHOP
2026-02-05,History,0,C2_NJ_PHL,10035,Pembrolizumab,PBR-2026-10037,Philadelphia-UPenn
2026-02-05,History,0,C2_NJ_PHL,10021,Remdesivir 100mg,RMD-2026-10038,Philadelphia-UPenn
2026-02-06,History,0,C1_I95_NJ_BOS,10035,Pembrolizumab (Keytruda),PBR-2026-00039,Boston-DanaFarber
2026-02-06,History,0,C1_I95_NJ_BOS,99999,Experimental Oncology Drug,EXP-2026-00040,Boston-Children
2026-02-06,History,0,C1_I95_NJ_BOS,10023,Insulin Aspart,INS-2026-00041,Boston-BWH
2026-02-06,History,0,C2_NJ_PHL,10022,Insulin Lispro,INS-2026-10042,Philadelphia-Jefferson
2026-02-06,History,0,C2_NJ_PHL,10022,Insulin Lispro,INS-2026-10043,Philadelphia-UPenn
2026-02-06,History,0,C2_NJ_PHL,10050,Heparin Na,HEP-2026-10044,Philadelphia-Jefferson
2026-02-06,History,0,C2_NJ_PHL,10022,Insulin Lispro,INS-2026-10045,Philadelphia-Jefferson
2026-02-06,History,0,C2_NJ_PHL,10071,Levalbuterol Inhaler,LEV-2026-10046,Philadelphia-CHOP
2026-02-07,History,0,C1_I95_NJ_BOS,10050,Heparin Na,HEP-2026-00047,Boston-MGH
2026-02-07,History,0,C1_I95_NJ_BOS,10035,Pembrolizumab,PBR-2026-00048,Boston-DanaFarber
2026-02-07,History,0,C1_I95_NJ_BOS,10050,Heparin Sodium,HEP-2026-00049,Boston-DanaFarber
2026-02-07,History,0,C1_I95_NJ_BOS,99999,Experimental Oncology Drug,EXP-2026-00050,Boston-DanaFarber
2026-02-07,History,0,C1_I95_NJ_BOS,10050,Heparin Sodium,HEP-2026-00051,Boston-MGH
2026-02-07,History,0,C2_NJ_PHL,10023,Insulin Aspart,INS-2026-10052,Philadelphia-Jefferson
2026-02-07,History,0,C2_NJ_PHL,10070,Albuterol Inhaler,ALB-2026-10053,Philadelphia-CHOP
2026-02-07,History,0,C2_NJ_PHL,10060,Morphine Sulphate,MOR-2026-10054,Philadelphia-Jefferson
2026-02-07,History,0,C2_NJ_PHL,10023,Insulin Aspart,INS-2026-10055,Philadelphia-Jefferson
2026-02-07,History,0,C2_NJ_PHL,10023,Insulin Aspart,INS-2026-10056,Philadelphia-CHOP
2026-02-08,History,0,C1_I95_NJ_BOS,10070,Albuterol Inhaler,ALB-2026-00057,Boston-Children
2026-02-08,History,0,C1_I95_NJ_BOS,10071,Levalbuterol Inhaler,LEV-2026-00058,Boston-Children
2026-02-08,History,0,C1_I95_NJ_BOS,10023,Insulin Aspart,INS-2026-00059,Boston-Children
2026-02-08,History,0,C1_I95_NJ_BOS,10060,Morphine Sulphate,MOR-2026-00060,Boston-Children
2026-02-08,History,0,C2_NJ_PHL,10021,Remdesivir 100mg,RMD-2026-10061,Philadelphia-CHOP
2026-02-08,History,0,C2_NJ_PHL,10071,Levalbuterol Inhaler,LEV-2026-10062,Philadelphia-CHOP
2026-02-08,History,0,C2_NJ_PHL,10021,Remdesivir 200mg,RMD-2026-10063,Philadelphia-UPenn
2026-02-08,History,0,C2_NJ_PHL,10023,Insulin Aspart,INS-2026-10064,Philadelphia-CHOP
2026-02-08,History,0,C2_NJ_PHL,10023,Insulin Aspart,INS-2026-10065,Philadelphia-UPenn
2026-02-09,History,0,C1_I95_NJ_BOS,10035,Pembrolizumab (Keytruda),PBR-2026-00066,Boston-DanaFarber
2026-02-09,History,0,C1_I95_NJ_BOS,10050,Heparin Na,HEP-2026-00067,Boston-MGH
2026-02-09,History,0,C1_I95_NJ_BOS,10071,Levalbuterol Inhaler,LEV-2026-00068,Boston-BWH
2026-02-09,History,0,C2_NJ_PHL,10023,Insulin Aspart,INS-2026-10069,Philadelphia-Jefferson
2026-02-09,History,0,C2_NJ_PHL,10040,EpiPen Auto Injector,EPI-2026-10070,Philadelphia-CHOP
2026-02-09,History,0,C2_NJ_PHL,10022,Insulin Lispro,INS-2026-10071,Philadelphia-Jefferson
2026-02-10,History,0,C1_I95_NJ_BOS,10035,Pembrolizumab,PBR-2026-00072,Boston-DanaFarber
2026-02-10,History,0,C1_I95_NJ_BOS,10021,Remdesivir 100mg,RMD-2026-00073,Boston-DanaFarber
2026-02-10,History,0,C1_I95_NJ_BOS,10050,Heparin Na,HEP-2026-00074,Boston-MGH
2026-02-10,History,0,C1_I95_NJ_BOS,10022,Insulin Lispro,INS-2026-00075,Boston-Children
2026-02-10,History,0,C1_I95_NJ_BOS,10023,Insulin Aspart,INS-2026-00076,Boston-BWH
2026-02-10,History,0,C2_NJ_PHL,10050,Heparin Sodium,HEP-2026-10077,Philadelphia-CHOP
2026-02-10,History,0,C2_NJ_PHL,10021,Remdesivir 200mg,RMD-2026-10078,Philadelphia-UPenn
2026-02-10,History,0,C2_NJ_PHL,10023,Insulin Aspart,INS-2026-10079,Philadelphia-UPenn
2026-02-10,History,0,C2_NJ_PHL,10050,Heparin Sodium,HEP-2026-10080,Philadelphia-Jefferson
2026-02-11,History,0,C1_I95_NJ_BOS,10021,Remdesivir 100mg,RMD-2026-00081,Boston-MGH
2026-02-11,History,0,C1_I95_NJ_BOS,10023,Insulin Aspart,INS-2026-00082,Boston-MGH
2026-02-11,History,0,C1_I95_NJ_BOS,10035,Pembrolizumab (Keytruda),PBR-2026-00083,Boston-DanaFarber
2026-02-11,History,0,C1_I95_NJ_BOS,10035,Pembrolizumab,PBR-2026-00084,Boston-DanaFarber
2026-02-11,History,0,C1_I95_NJ_BOS,10021,Remdesivir 200mg,RMD-2026-00085,Boston-MGH
2026-02-11,History,0,C2_NJ_PHL,10070,Albuterol Inhaler,ALB-2026-10086,Philadelphia-CHOP
2026-02-11,History,0,C2_NJ_PHL,10021,Remdesivir 200mg,RMD-2026-10087,Philadelphia-UPenn
2026-02-11,History,0,C2_NJ_PHL,10060,Morphine Sulfate,MOR-2026-10088,Philadelphia-Jefferson
2026-02-12,History,0,C1_I95_NJ_BOS,10035,Pembrolizumab,PBR-2026-00089,Boston-DanaFarber
2026-02-12,History,0,C1_I95_NJ_BOS,10071,Levalbuterol Inhaler,LEV-2026-00090,Boston-BWH
2026-02-12,History,0,C1_I95_NJ_BOS,10022,Insulin Lispro,INS-2026-00091,Boston-MGH
2026-02-12,History,0,C2_NJ_PHL,99999,Experimental Oncology Drug,EXP-2026-10092,Philadelphia-UPenn
2026-02-12,History,0,C2_NJ_PHL,10070,Albuterol Inhaler 90mcg,ALB-2026-10093,Philadelphia-UPenn
2026-02-12,History,0,C2_NJ_PHL,10070,Albuterol Inhaler,ALB-2026-10094,Philadelphia-UPenn
2026-02-12,History,0,C2_NJ_PHL,10022,Insulin Lispro,INS-2026-10095,Philadelphia-CHOP
2026-02-12,History,0,C2_NJ_PHL,10040,EpiPen Auto Injector,EPI-2026-10096,Philadelphia-CHOP
2026-02-13,History,0,C1_I95_NJ_BOS,10035,Pembrolizumab,PBR-2026-00097,Boston-DanaFarber
2026-02-13,History,0,C1_I95_NJ_BOS,10022,Insulin Lispro,INS-2026-00098,Boston-Children
2026-02-13,History,0,C1_I95_NJ_BOS,10071,Levalbuterol Inhaler,LEV-2026-00099,Boston-Children
2026-02-13,History,0,C2_NJ_PHL,10035,Pembrolizumab (Keytruda),PBR-2026-10100,Philadelphia-CHOP
2026-02-13,History,0,C2_NJ_PHL,10050,Heparin Sodium,HEP-2026-10101,Philadelphia-Jefferson
2026-02-13,History,0,C2_NJ_PHL,99999,Experimental Oncology Drug,EXP-2026-10102,Philadelphia-UPenn
2026-02-13,History,0,C2_NJ_PHL,10022,Insulin Lispro,INS-2026-10103,Philadelphia-Jefferson
2026-02-13,History,0,C2_NJ_PHL,10060,Morphine Sulfate,MOR-2026-10104,Philadelphia-Jefferson
2026-02-14,History,0,C1_I95_NJ_BOS,10021,Remdesivir 100 mg,RMD-2026-00105,Boston-BWH
2026-02-14,History,0,C1_I95_NJ_BOS,10021,Remdesivir 100mg,RMD-2026-00106,Boston-BWH
2026-02-14,History,0,C1_I95_NJ_BOS,10035,Pembrolizumab (Keytruda),PBR-2026-00107,Boston-Children
2026-02-14,History,0,C2_NJ_PHL,10071,Levalbuterol Inhaler,LEV-2026-10108,Philadelphia-CHOP
2026-02-14,History,0,C2_NJ_PHL,10050,Heparin Na,HEP-2026-10109,Philadelphia-UPenn
2026-02-14,History,0,C2_NJ_PHL,10022,Insulin Lispro,INS-2026-10110,Philadelphia-CHOP
2026-02-14,History,0,C2_NJ_PHL,10070,Albuterol Inhaler,ALB-2026-10111,Philadelphia-CHOP
