shipment_date,planning_day,is_planning_window,corridor_id,item_id,item_name,unique_item_id,dispatch_location
2026-02-10,History,0,C1_I95_NJ_BOS,10050,Heparin Sodium,HEP-2026-00001,Boston-BWH
2026-02-10,History,0,C1_I95_NJ_BOS,10022,Insulin Lispro,INS-2026-00002,Boston-MGH
2026-02-10,History,0,C1_I95_NJ_BOS,10021,Remdesivir 100mg,RMD-2026-00003,Boston-MGH
2026-02-10,History,0,C1_I95_NJ_BOS,10023,Insulin Aspart,INS-2026-00004,Boston-BWH
2026-02-10,History,0,C2_NJ_PHL,99999,Experimental Oncology Drug,EXP-2026-10005,Philadelphia-UPenn
2026-02-10,History,0,C2_NJ_PHL,10022,Insulin Lispro,INS-2026-10006,Philadelphia-Jefferson
2026-02-10,History,0,C2_NJ_PHL,10021,Remdesivir 100 mg,RMD-2026-10007,Philadelphia-UPenn
2026-02-10,History,0,C2_NJ_PHL,10070,Albuterol Inhaler 90mcg,ALB-2026-10008,Philadelphia-CHOP
2026-02-10,History,0,C2_NJ_PHL,10023,Insulin Aspart,INS-2026-10009,Philadelphia-Jefferson
2026-02-11,History,0,C1_I95_NJ_BOS,10050,Heparin Sodium,HEP-2026-00010,Boston-BWH
2026-02-11,History,0,C1_I95_NJ_BOS,10050,Heparin Na,HEP-2026-00011,Boston-BWH
2026-02-11,History,0,C1_I95_NJ_BOS,10023,Insulin Aspart,INS-2026-00012,Boston-Children
2026-02-11,History,0,C1_I95_NJ_BOS,10035,Pembrolizumab,PBR-2026-00013,Boston-DanaFarber
2026-02-11,History,0,C1_I95_NJ_BOS,10050,Heparin Na,HEP-2026-00014,Boston-MGH
2026-02-11,History,0,C2_NJ_PHL,10070,Albuterol Inhaler,ALB-2026-10015,Philadelphia-CHOP
2026-02-11,History,0,C2_NJ_PHL,10060,Morphine Sulfate,MOR-2026-10016,Philadelphia-Jefferson
2026-02-11,History,0,C2_NJ_PHL,10040,EpiPen Auto Injector,EPI-2026-10017,Philadelphia-CHOP
2026-02-11,History,0,C2_NJ_PHL,10023,Insulin Aspart,INS-2026-10018,Philadelphia-CHOP
2026-02-11,History,0,C2_NJ_PHL,10040,EpiPen Auto Injector,EPI-2026-10019,Philadelphia-UPenn
2026-02-12,History,0,C1_I95_NJ_BOS,10021,Remdesivir 200mg,RMD-2026-00020,Boston-MGH
2026-02-12,History,0,C1_I95_NJ_BOS,10071,Levalbuterol Inhaler,LEV-2026-00021,Boston-Children
2026-02-12,History,0,C1_I95_NJ_BOS,10050,Heparin Sodium,HEP-2026-00022,Boston-MGH
2026-02-12,History,0,C1_I95_NJ_BOS,10022,Insulin Lispro,INS-2026-00023,Boston-MGH
2026-02-12,History,0,C1_I95_NJ_BOS,10060,Morphine Sulphate,MOR-2026-00024,Boston-BWH
2026-02-12,History,0,C2_NJ_PHL,10035,Pembrolizumab (Keytruda),PBR-2026-10025,Philadelphia-UPenn
2026-02-12,History,0,C2_NJ_PHL,10071,Levalbuterol Inhaler,LEV-2026-10026,Philadelphia-UPenn
2026-02-12,History,0,C2_NJ_PHL,10060,Morphine Sulphate,MOR-2026-10027,Philadelphia-Jefferson
2026-02-12,History,0,C2_NJ_PHL,10035,Pembrolizumab,PBR-2026-10028,Philadelphia-UPenn
